ID_GPS	Fecha	Xlocal	Ylocal	X	Y	Altura elipsoidal	id_suelo_raiz	Nº	Marco	COD	GLUC	FOSF	N	P	K	C	pH	COND	Arena	Limo	Arcilla
GPS0245	10/07/2016 10:13	488510,4232	4457835,313	5,1517	1,1511	764,4031	S137	137	Regular	R63	0,374230162	0,328323603	0,083488500	0,013869456	0,010804791	1,182085476	8,13	125,6	38,6205901	51,58517762	9,794232285
GPS0247	10/07/2016 10:14	488509,5392	4457834,753	4,2677	0,5911	764,3658	S138	138	Regular	R64	0,957936140	0,500070790	1,510480801	0,188915701	0,016677973	2,294189416	8,05	148,6	34,19509595	48,5729833	17,23192075
GPS0233	10/07/2016 10:10	488516,0826	4457838,419	10,8111	4,2572	764,8541	S139	139	Borde	B24	0,730194106	0,417791682	0,484252734	0,074188113	0,020173719	1,325946210	8,04	142,8	43,76346953	47,23277567	9,003754805
GPS0234	10/07/2016 10:10	488515,3169	4457837,97	10,0454	3,808	764,7998	S140	140	Borde	B25	0,255528158	0,301241615	0,468730875	0,098687764	0,011369912	0,752766196	8,11	117,4	38,78462119	50,31206272	10,90331608
GPS0236	10/07/2016 10:11	488514,4533	4457837,462	9,1818	3,3003	764,7335	S141	141	Borde	B26	0,275642625	0,279703904	0,477808846	0,104682005	0,009839004	0,684250171	8,14	109,6	39,07493534	50,42790068	10,49716398
GPS0238	10/07/2016 10:11	488513,6469	4457836,866	8,3754	2,7039	764,6992	S142	142	Borde	B27	0,303286828	0,383631166	0,575737263	0,075132760	0,010493226	1,217199768	8,09	123,8	41,28043162	48,20768437	10,51188401
GPS0240	10/07/2016 10:12	488512,8059	4457836,313	7,5344	2,1513	764,6848	S143	143	Borde	B28	1,372302879	0,301352144	0,718265935	0,121720666	0,015355317	1,032460629	8,09	148,4	40,58785006	48,2279029	11,18424704
GPS0242	10/07/2016 10:13	488511,9342	4457835,772	6,6627	1,6106	764,6943	S144	144	Borde	B29	0,342048594	0,377803019	1,207136760	0,186030470	0,009756894	1,504721571	8,14	114,2	37,51235164	50,21483529	12,27281307
GPS0244	10/07/2016 10:13	488511,121	4457835,251	5,8495	1,0897	764,5633	S145	145	Borde	B30	0,672223408	0,740464843	0,175191142	0,020591723	0,011094272	1,621162784	8,12	106,3	40,15151515	48,66591131	11,18257354
GPS0246	10/07/2016 10:14	488510,2664	4457834,691	4,9949	0,5297	764,556	S146	146	Borde	B31	0,587361971	0,540259668	0,140695180	0,023110935	0,009894767	1,775084850	8,10	110,9	38,34884599	51,29395562	10,35719839
GPS0248	10/07/2016 10:14	488509,4377	4457834,162	4,1662	0	764,4373	S147	147	Borde	B32	0,548356048	0,739824766	0,048116107	0,007790511	0,012377861	1,804737875	7,81	304,0	36,52553577	45,12448479	18,34997945
